date,open,high,low,close,volume,adjclose
2021/12/14,18.16,18.17,17.52,17.58,193720890,16.853687
2021/12/15,17.51,17.66,17.4,17.549999,129462741,16.824926
2021/12/16,17.549999,17.73,17.459999,17.719999,81947951,16.987904
2021/12/17,17.700001,17.75,17.57,17.57,60236967,16.844101
2021/12/20,17.559999,17.65,17.450001,17.52,74643520,16.796167
2021/12/21,17.49,17.709999,17.48,17.59,89373404,16.863274
2021/12/22,17.620001,17.639999,17.299999,17.389999,97692775,16.671535
2021/12/23,17.299999,17.360001,17.209999,17.32,105957594,16.604429
2021/12/24,17.33,17.35,17.209999,17.309999,48825149,16.594843
2021/12/27,17.33,17.35,17.16,17.219999,73111899,16.50856
2021/12/28,17.219999,17.33,17.09,17.17,112663891,16.460627
2021/12/29,17.16,17.16,16.700001,16.75,146937398,16.057978
2021/12/30,16.76,16.950001,16.719999,16.82,79666360,16.125086
2021/12/31,16.860001,16.9,16.4,16.48,175076089,15.799133
2022/01/04,16.48,16.66,16.18,16.66,116925933,15.971698
2022/01/05,16.58,17.219999,16.549999,17.15,196199817,16.441452
2022/01/06,17.110001,17.27,17,17.120001,110788519,16.412693
2022/01/07,17.1,17.280001,17.059999,17.200001,112663070,16.489388
2022/01/10,17.290001,17.42,17.030001,17.190001,90977401,16.479801
2022/01/11,17.26,17.540001,17.139999,17.41,158199940,16.69071
2022/01/12,17.41,17.450001,16.9,17,150216355,16.297649
2022/01/13,16.91,17.24,16.82,16.98,90942265,16.278475
2022/01/14,17,17.02,16.299999,16.33,210309491,15.655331
2022/01/17,16.35,16.48,16.120001,16.219999,114368943,15.549875
2022/01/18,16.25,16.540001,16.16,16.52,115297431,15.837481
2022/01/19,16.540001,16.690001,16.360001,16.5,98839185,15.818308
2022/01/20,16.469999,17.459999,16.42,17.33,303119377,16.614016
2022/01/21,17.450001,17.559999,17.209999,17.35,148168295,16.63319
2022/01/24,17.34,17.379999,16.98,17.200001,87477087,16.489388
2022/01/25,17.08,17.08,16.809999,16.85,109328397,16.153849
2022/01/26,16.950001,17.1,16.540001,16.65,98497522,15.962111
2022/01/27,16.5,16.540001,16.25,16.299999,102464311,15.62657
2022/01/28,16.389999,16.450001,15.82,15.83,167556367,15.175988
