date,open,high,low,close,volume,adjclose
2021/12/13,19.57,19.76,19.049999,19.1,259643280,12.620611
2021/12/14,18.75,18.9,18.129999,18.129999,319526665,11.979669
2021/12/15,18,18.65,17.82,18.35,205709442,12.125038
2021/12/16,18.51,18.91,18.41,18.58,143273492,12.277013
2021/12/17,18.65,19.1,18.48,18.719999,190518479,12.369519
2021/12/20,19.309999,19.42,18.77,19,228627850,12.554534
2021/12/21,19.190001,19.25,18.77,18.950001,144037879,12.521496
2021/12/22,19.18,19.25,18.23,18.370001,178741208,12.138252
2021/12/23,18.450001,18.950001,18.43,18.780001,149918883,12.409167
2021/12/24,18.780001,18.780001,18.120001,18.360001,129515177,12.131646
2021/12/27,18.33,18.84,18.219999,18.700001,111934031,12.356305
2021/12/28,18.85,19.75,18.67,19.6,266496933,12.950993
2021/12/29,19.65,19.98,19.379999,19.450001,174048096,12.851879
2021/12/30,19.370001,19.450001,18.4,18.700001,221607050,12.356305
2021/12/31,18.85,18.9,18.530001,18.690001,122998555,12.349697
2022/01/04,19.209999,19.799999,19.08,19.6,279914093,12.950993
2022/01/05,19.540001,19.93,19.040001,19.219999,213368614,12.699902
2022/01/06,19.110001,19.35,18.370001,18.57,205286815,12.270405
2022/01/07,18.51,19.049999,18.41,18.67,140906740,12.336482
2022/01/10,18.559999,18.67,17.6,18.09,187381931,11.953238
2022/01/11,17.99,18.639999,17.809999,18,145093710,11.893769
2022/01/12,18.219999,18.52,17.950001,18.370001,114505229,12.138252
2022/01/13,18.370001,18.690001,18.139999,18.18,113515944,12.012708
2022/01/14,18.059999,18.5,17.73,18.290001,137098763,12.085392
2022/01/17,17.98,18,17.360001,17.440001,191045372,11.523741
2022/01/18,17.299999,18.209999,17.01,18.129999,193183643,11.979669
2022/01/19,17.99,18.1,17.6,17.65,103219435,11.6625
2022/01/20,17.4,17.790001,17.309999,17.440001,95357269,11.523741
2022/01/21,17.5,17.620001,16.440001,16.700001,185626645,11.034776
2022/01/24,16.299999,16.870001,16.08,16.620001,108310764,10.981914
2022/01/25,16.1,17.23,16.1,16.33,181848401,10.790292
2022/01/26,16.629999,17.1,16.51,16.690001,121565715,11.028167
2022/01/27,16.629999,17.24,16.450001,16.469999,132142326,10.882798
2022/01/28,16.799999,16.83,15.95,16.120001,131444977,10.651532
2022/02/07,16.299999,16.620001,16.209999,16.530001,107080940,10.922444
2022/02/08,16.620001,17,16.370001,17,122504610,11.233005
2022/02/09,17.23,17.280001,16.809999,16.969999,105766046,11.213181
2022/02/10,17.190001,17.370001,16.940001,17.049999,126927773,11.266042
2022/02/11,16.959999,17.49,16.799999,17.07,163946640,11.279258
2022/02/14,16.969999,16.969999,16.07,16.15,194621819,10.671353
2022/02/15,16.02,16.309999,15.97,16.16,93806286,10.677962
