date,open,high,low,close,volume,adjclose
2012/01/04,33,33.080002,31.360001,31.360001,17882935,24.439188
2012/01/05,31.23,31.58,30.879999,31.379999,13079934,24.454771
2012/01/06,31.4,31.700001,31.08,31.51,11033855,24.556082
2012/01/09,31.6,31.76,30.01,31.74,22522531,24.735321
2012/01/10,31.75,32.990002,31.5,32.990002,25115344,25.709463
2012/01/11,32.900002,32.900002,32.099998,32.59,19661360,25.397738
2012/01/12,32.59,33.380001,32.5,32.75,14542191,25.522429
2012/01/13,32.759998,32.990002,31.879999,32.209999,12441990,25.101595
2012/01/16,31.91,31.91,30.08,30.450001,25650014,23.730009
2012/01/17,30.450001,31.58,29.82,31.35,32981507,24.431393
2012/01/18,31.18,31.4,30.17,30.219999,23464220,23.550768
2012/01/19,30.23,30.98,29.98,30.559999,14982840,23.815737
2012/01/20,30.709999,31.799999,30.709999,31.76,22432151,24.750908
2012/01/30,31.85,31.950001,31.08,31.309999,12520417,24.400219
2012/01/31,31.379999,31.99,31.26,31.99,14931839,24.930153
2012/02/01,31.879999,32.52,31.68,31.82,15770264,24.797667
2012/02/02,31.870001,32.09,31.299999,32.029999,15437323,24.961317
2012/02/03,31.9,32.200001,31.5,32.049999,15990875,24.97691
2012/02/06,32.049999,32.630001,31.879999,32.59,18141486,25.397738
2012/02/07,32.360001,32.630001,31.870001,31.92,13581860,24.875597
2012/02/08,31.879999,32.75,31.700001,32.529999,16458798,25.350977
2012/02/09,32.459999,33.330002,32.41,32.779999,18676607,25.545803
2012/02/10,32.650002,33,32.459999,32.66,15676272,25.45229
2012/02/13,32.48,33.299999,32.299999,32.869999,12644330,25.61594
2012/02/14,32.98,33.150002,32.700001,32.98,11923915,25.70167
2012/02/15,32.860001,33.59,32.860001,33.369999,15589318,26.005598
2012/02/16,33.450001,33.450001,32.799999,33.049999,10784720,25.75622
2012/02/17,33.18,33.360001,32.849998,33.080002,7934870,25.779598
2012/02/20,33.34,33.43,32.98,33,11772300,25.717253
2012/02/21,33.119999,33.25,32.799999,33.139999,9731841,25.826357
2012/02/22,33.139999,33.279999,32.900002,33.259998,16156195,25.919872
2012/02/23,33.25,33.799999,33.099998,33.48,20935827,26.091324
2012/02/24,33.5,34.279999,33.400002,34.18,22606467,26.636841
2012/02/27,34.23,34.48,33.869999,34.029999,18401729,26.519939
2012/02/28,33.900002,34.860001,33.860001,34.799999,25326615,27.120012
2012/02/29,34.740002,35.98,34.700001,35.240002,29432573,27.462912
2012/03/01,35.009998,35.66,34.799999,35,12850218,27.275877
2012/03/02,35.049999,35.25,34.790001,35.139999,16788446,27.384977
2012/03/05,35.240002,35.610001,34.709999,34.799999,18289654,27.120012
2012/03/06,34.650002,35,34.52,34.549999,13602641,26.925186
2012/03/07,34.299999,34.5,33.900002,33.959999,13771433,26.465391
2012/03/08,33.93,34.700001,33.93,34.259998,8957354,26.699186
2012/03/09,34.32,35.650002,34.200001,35.639999,19684824,27.77463
2012/03/12,35.68,36.220001,35.490002,35.830002,18675063,27.922705
2012/03/13,35.799999,36.75,35.720001,36.599998,23186828,28.522768
2012/03/14,36.75,37.52,35,35.5,24862686,27.665531
2012/03/15,35.799999,36.450001,35.5,36.220001,22207833,28.226631
2012/03/16,36.279999,37.5,36.279999,37.349998,25432620,29.10726
2012/03/19,37.369999,37.810001,36.799999,37,23453665,28.834496
2012/03/20,36.970001,36.98,36.490002,36.5,11056533,28.444841
2012/03/21,36.560001,36.880001,35.580002,36.009998,12100194,28.062977
2012/03/22,36,36.439999,35.68,35.700001,10064548,27.82139
2012/03/23,35.830002,36.349998,35.57,35.75,13536974,27.860357
2012/03/26,35.599998,36.900002,35.599998,36.900002,14525609,28.756565
2012/03/27,36,36.349998,34.299999,34.5,38061362,26.886217
2012/03/28,34.380001,34.709999,33.450001,33.799999,26363036,26.3407
2012/03/29,33.779999,34.549999,33.450001,33.82,17976378,26.356289
2012/03/30,33.950001,34.07,32.549999,32.84,18187821,25.592562
2012/04/05,32.849998,34.200001,32.450001,34.080002,20728383,26.558912
2012/04/06,34.049999,34.950001,33.849998,34.709999,18826431,27.049875
2012/04/09,34.549999,34.650002,34.009998,34.389999,9942695,26.800495
2012/04/10,34.369999,34.419998,33.619999,34.189999,9553860,26.644632
2012/04/11,33.869999,35,33.799999,34.580002,8639490,26.94857
2012/04/12,34.580002,35.040001,34.099998,35.02,12019294,27.29146
2012/04/13,35.060001,35.150002,34.639999,34.73,9749582,27.065458
2012/04/16,34.669998,34.939999,34.290001,34.330002,10989233,26.753735
2012/04/17,34.380001,34.490002,33.75,33.75,12611851,26.301737
2012/04/18,33.990002,34.360001,33.619999,34.200001,13984916,26.652428
2012/04/19,34.119999,34.299999,33.380001,33.970001,23318663,26.473183
2012/04/20,33.970001,33.970001,33.970001,33.970001,0,26.473183
2012/04/23,34.720001,34.84,34.049999,34.369999,21673599,26.784908
2012/04/24,34.150002,34.560001,33.709999,34.369999,13420047,26.784908
2012/04/25,34.369999,34.639999,34.110001,34.470001,15275173,26.862843
2012/04/26,34.59,35.349998,34.459999,35.299999,20765045,27.509666
2012/04/27,35.27,36.049999,35.16,35.619999,25761946,27.759047
2012/05/02,36,36.25,35.549999,35.880001,25734206,27.96167
2012/05/03,35.919998,36.299999,35.900002,36.220001,19320729,28.226631
2012/05/04,36.209999,37.189999,36.099998,37.060001,29151934,28.88126
2012/05/07,37.02,37.5,36.700001,37.259998,25659478,29.037113
2012/05/08,37.099998,37.209999,35.959999,36.5,28738365,28.444841
2012/05/09,36,36.110001,35.599998,35.68,21872930,27.805805
2012/05/10,35.700001,35.84,35.290001,35.59,18447653,27.73567
2012/05/11,35.59,36.099998,35.330002,35.75,16238171,27.860357
2012/05/14,35.98,35.990002,34.91,34.98,24261728,27.260288
2012/05/15,34.790001,35.240002,34.68,35.169998,15434020,27.408356
2012/05/16,34.709999,34.720001,33.889999,33.919998,18926344,26.815443
2012/05/17,33.93,34.330002,33.82,34.25,18160364,27.076326
2012/05/18,34.009998,34.049999,33.349998,33.549999,22490781,26.522942
2012/05/21,33.57,34.330002,33.18,33.959999,22024196,26.847069
2012/05/22,34.09,34.68,34.009998,34.630001,23973268,27.376736
2012/05/23,34.400002,34.610001,33.950001,34.200001,27052186,27.0368
2012/05/24,34,34.150002,32.380001,32.59,58385276,25.764015
2012/05/25,32.5,32.5,31.450001,31.950001,42005781,25.258062
