date,open,high,low,close,volume,adjclose
2021/12/15,459.600006,464.399994,453.200012,455.799988,13371932,450.462128
2021/12/16,452,455.200012,448.200012,452.600006,21029463,447.299591
2021/12/17,447,447.200012,438,438,28284431,432.870575
2021/12/20,437.399994,439.600006,429,430,20413076,424.964264
2021/12/21,430,446.799988,429.399994,440.799988,17226545,435.637756
2021/12/22,450,450.799988,440.399994,443,13839639,437.812012
2021/12/23,454,468.799988,449.200012,461.799988,32952274,456.391846
2021/12/24,460.799988,460.799988,460.799988,460.799988,0,455.403564
2021/12/28,457.799988,459.200012,445,450.399994,18949609,445.125366
2021/12/29,443.600006,445.600006,440.399994,444.799988,9589399,439.590942
2021/12/30,446.399994,450.799988,442,443.399994,7664650,438.207336
2021/12/31,462,462,455.200012,456.799988,9875225,451.450378
2022/01/03,459.799988,463,453,453.799988,6021146,448.485504
2022/01/04,455.399994,458,445.399994,450,13562081,444.730042
2022/01/05,442.399994,444,429,430.600006,31926972,425.557251
2022/01/06,421,437.200012,421,437,22394447,431.882263
2022/01/07,445,448.399994,438.399994,443,20813417,437.812012
2022/01/10,434.829437,443.758972,429.394073,439.876587,20153237,434.725189
2022/01/11,444.535461,448.417877,440.847168,446.476654,16902063,441.247955
2022/01/12,457.929779,466.665192,455.406189,466.665192,29130943,461.200073
2022/01/13,471.712311,471.712311,458.512115,461.229797,18863209,455.828339
2022/01/14,448.417877,460.259216,448.417877,459.482727,14138429,454.101715
2022/01/17,458.123871,459.870972,450.35907,451.912048,13066889,446.61969
2022/01/18,454.047363,457.15329,437.547119,439.488342,24250731,434.341492
2022/01/19,439.682465,444.535461,436.77066,442.400146,18019787,437.219177
2022/01/20,442,472,442,471.600006,29536303,466.077087
2022/01/21,468.799988,478.399994,467,474.799988,26820113,469.239594
2022/01/24,470,473.600006,465.799988,469.600006,14677184,464.100525
2022/01/25,459.399994,468,459.399994,466.799988,24998708,461.333282
2022/01/26,470,476.600006,466,473.600006,21619270,468.05365
2022/01/27,465,467,457.799988,463,20507145,457.577789
2022/01/28,463,464,455.600006,460,15027473,454.612915
2022/01/31,471.200012,471.200012,471.200012,471.200012,0,465.681763
2022/02/04,483,483,471,479,15930509,473.390411
2022/02/07,482,482,470.200012,478,15382223,472.40213
2022/02/08,474.600006,476,469,470,18754239,464.495819
2022/02/09,480,483.600006,476.600006,482.799988,23365228,477.145905
2022/02/10,488,488,475.799988,484.399994,18808693,478.727203
