date,open,high,low,close,volume,adjclose
2021/12/15,4.54,4.55,4.52,4.52,89164422,3.928434
2021/12/16,4.53,4.55,4.52,4.54,69456908,3.945816
2021/12/17,4.54,4.55,4.53,4.53,65960604,3.937125
2021/12/20,4.54,4.55,4.53,4.53,65966990,3.937125
2021/12/21,4.53,4.57,4.53,4.55,62139032,3.954508
2021/12/22,4.56,4.57,4.53,4.54,70889907,3.945816
2021/12/23,4.55,4.56,4.54,4.55,48453201,3.954508
2021/12/24,4.55,4.57,4.53,4.55,76315730,3.954508
2021/12/27,4.55,4.57,4.55,4.57,60825938,3.97189
2021/12/28,4.56,4.67,4.56,4.58,105300374,3.980581
2021/12/29,4.59,4.61,4.58,4.59,62524153,3.989273
2021/12/30,4.6,4.62,4.59,4.6,75539623,3.997964
2021/12/31,4.6,4.63,4.6,4.61,60191401,4.006655
2022/01/04,4.61,4.63,4.59,4.62,107617582,4.015347
2022/01/05,4.62,4.67,4.61,4.66,172849570,4.050111
2022/01/06,4.66,4.67,4.63,4.65,128012293,4.04142
2022/01/07,4.65,4.75,4.65,4.73,184742690,4.11095
2022/01/10,4.73,4.77,4.71,4.75,107768717,4.128332
2022/01/11,4.75,4.79,4.72,4.78,108963553,4.154406
2022/01/12,4.78,4.79,4.72,4.76,124460026,4.137023
2022/01/13,4.75,4.85,4.74,4.81,162208126,4.18048
2022/01/14,4.8,4.82,4.71,4.73,150381570,4.11095
2022/01/17,4.72,4.75,4.68,4.7,97420220,4.084876
2022/01/18,4.71,4.8,4.7,4.8,135195449,4.171788
2022/01/19,4.8,4.81,4.77,4.8,86867322,4.171788
2022/01/20,4.8,4.84,4.79,4.83,132044535,4.197862
2022/01/21,4.83,4.84,4.76,4.81,91374395,4.18048
2022/01/24,4.81,4.82,4.75,4.78,116102282,4.154406
2022/01/25,4.76,4.81,4.74,4.74,96310089,4.11964
2022/01/26,4.74,4.83,4.74,4.82,129128026,4.189171
2022/01/27,4.81,4.83,4.77,4.79,99887005,4.163097
2022/01/28,4.79,4.82,4.72,4.74,101698859,4.11964
2022/02/07,4.79,4.89,4.78,4.87,181215422,4.232626
2022/02/08,4.87,4.95,4.86,4.94,175305386,4.293466
2022/02/09,4.94,4.99,4.91,4.92,151887615,4.276083
2022/02/10,4.92,4.99,4.91,4.98,146446163,4.32823
2022/02/11,4.99,5.01,4.97,5.01,140787418,4.354304
2022/02/14,5.01,5.02,4.91,4.92,145047069,4.276083
2022/02/15,4.92,4.94,4.87,4.88,109591349,4.241318
2022/02/16,4.91,4.95,4.89,4.94,73245744,4.293466
2022/02/17,4.94,4.97,4.91,4.93,69387826,4.284774
2022/02/18,4.92,4.99,4.9,4.99,101747906,4.336921
2022/02/21,4.98,4.98,4.93,4.97,77932432,4.319539
2022/02/22,4.95,4.96,4.92,4.95,78041008,4.302156
2022/02/23,4.95,4.96,4.91,4.91,74704722,4.267392
2022/02/24,4.91,4.92,4.82,4.83,150950272,4.197862
2022/02/25,4.84,4.87,4.78,4.8,134762822,4.171788
2022/02/28,4.8,4.82,4.76,4.78,82072518,4.154406
2022/03/01,4.8,4.87,4.79,4.86,87287158,4.223936
2022/03/02,4.84,4.9,4.83,4.88,87510407,4.241318
2022/03/03,4.88,4.94,4.88,4.91,87330680,4.267392
2022/03/04,4.9,4.91,4.85,4.9,87824025,4.2587
2022/03/07,4.88,4.89,4.79,4.82,127303189,4.189171
2022/03/08,4.81,4.83,4.75,4.75,121858406,4.128332
2022/03/09,4.75,4.8,4.6,4.7,168271146,4.084876
2022/03/10,4.76,4.77,4.72,4.72,83143238,4.102258
2022/03/11,4.71,4.83,4.67,4.81,107998584,4.18048
2022/03/14,4.79,4.86,4.78,4.79,124787423,4.163097
2022/03/15,4.78,4.8,4.6,4.6,190498470,3.997964
2022/03/16,4.65,4.81,4.61,4.78,211717320,4.154406
2022/03/17,4.81,4.82,4.72,4.73,175268709,4.11095
2022/03/18,4.73,4.9,4.7,4.89,240293163,4.250009
2022/03/21,4.88,4.92,4.83,4.86,117075336,4.223936
2022/03/22,4.85,4.92,4.84,4.9,125376299,4.2587
2022/03/23,4.9,4.91,4.85,4.89,92230783,4.250009
2022/03/24,4.87,4.89,4.85,4.86,71907360,4.223936
2022/03/25,4.85,4.94,4.83,4.91,133996304,4.267392
2022/03/28,4.92,5,4.87,4.97,224211140,4.319539
2022/03/29,4.96,5.02,4.96,5.01,156818498,4.354304
2022/03/30,5.03,5.05,5,5.04,124951186,4.380378
2022/03/31,5.03,5.13,5.02,5.11,150350167,4.441216
2022/04/01,5.09,5.13,5.07,5.12,138103324,4.449907
2022/04/06,5.1,5.18,5.09,5.17,152986861,4.493364
2022/04/07,5.15,5.19,5.1,5.13,141537708,4.458599
2022/04/08,5.13,5.18,5.13,5.17,100858638,4.493364
2022/04/11,5.16,5.18,5.13,5.15,143306139,4.475981
2022/04/12,5.15,5.2,5.12,5.17,135479277,4.493364
2022/04/13,5.17,5.22,5.15,5.18,123811263,4.502055
2022/04/14,5.18,5.21,5.15,5.15,90215775,4.475981
2022/04/15,5.15,5.18,5.13,5.15,82809193,4.475981
2022/04/18,5.15,5.16,5.06,5.07,127293526,4.406452
